,total_pop,avg_age,pop_dens,eld_dep_ratio,total_house,ho_yr_001,ho_yr_002,ho_yr_003,ho_yr_004,ho_yr_005,ho_yr_006,ho_yr_007,ho_yr_008,ho_yr_009,ho_yr_010,ho_yr_011,ho_yr_012,ho_yr_999,ho_gb_001,ho_gb_002,ho_gb_003,ho_gb_004,ho_gb_005,ho_gb_006,ho_gb_999,total_corp,cp_bnu_001,cp_bnu_002,cp_bnu_003,cp_bnu_004,cp_bnu_005,cp_bnu_006,cp_bnu_007,cp_bnu_008,cp_bnu_009,cp_bnu_010,cp_bnu_011,cp_bnu_012,cp_bnu_013,cp_bnu_014,cp_bnu_015,cp_bnu_016,cp_bnu_017,cp_bnu_018,cp_bnu_019,cp_bnu_999,cp_bem_001,cp_bem_002,cp_bem_003,cp_bem_004,cp_bem_005,cp_bem_006,cp_bem_007,cp_bem_008,cp_bem_009,cp_bem_010,cp_bem_011,cp_bem_012,cp_bem_013,cp_bem_014,cp_bem_015,cp_bem_016,cp_bem_017,cp_bem_018,cp_bem_019,cp_bem_999
35011630020303,624,35.4,54135.4,35.0,196,,,,196.0,,,,,,,,,,,,196.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011630020304,653,33.2,53464.3,25.5,199,,,,199.0,,,,,,,,,,,,199.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,10.0,,,
35011630020305,695,37.0,56997.1,43.7,213,,,,213.0,,,,,,,,,,,,213.0,,,,,20,,,,,,,5.0,,,,,,,,,10.0,,,,,,,,,,,13.0,,,,,,,,,17.0,,,,
35011630020401,556,37.8,47569.9,50.0,170,,,,170.0,,,,,,,,,,,,170.0,,,,,17,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,5.0,,6.0,,,,,,,10.0,,,,
35011630020402,504,36.2,41907.8,34.7,152,,,,152.0,,,,,,,,,,,,152.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011630020403,478,36.2,43914.0,31.7,143,,,,143.0,,,,,,,,,,,,143.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011630020404,600,36.2,49493.8,41.5,192,,,,192.0,,,,,,,,,,,,192.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,7.0,,,
35011630020405,619,37.3,50888.2,61.9,192,,,,192.0,,,,,,,,,,,,192.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011630020601,422,33.6,74153.1,25.3,133,,,,133.0,,,,,,,,,,,,133.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011630020602,523,37.2,58279.3,48.5,174,,,,174.0,,,,,,,,,,,,174.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,9.0,,,
35011630020801,592,40.1,48245.9,83.5,220,,,220.0,,,,,,,,,,,,,220.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011630020802,573,42.4,38306.9,111.9,203,,,203.0,,,,,,,,,,,,,203.0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,9.0,,,,,,,,
