,code,total_pop,avg_age,pop_dens,eld_dep_ratio,total_house,ho_ar_001,ho_ar_002,ho_ar_003,ho_ar_004,ho_ar_005,ho_ar_006,ho_ar_007,ho_ar_008,ho_ar_009,ho_ar_999,1970s,1980s,1990s,2000-2004,2005-2009,2010-2014,2015-2020,no_yr_data,ho_gb_001,ho_gb_002,ho_gb_003,ho_gb_004,ho_gb_005,ho_gb_006,ho_gb_999,total_corp,cp_bnu_001,cp_bnu_002,cp_bnu_003,cp_bnu_004,cp_bnu_005,cp_bnu_006,cp_bnu_007,cp_bnu_008,cp_bnu_009,cp_bnu_010,cp_bnu_011,cp_bnu_012,cp_bnu_013,cp_bnu_014,cp_bnu_015,cp_bnu_016,cp_bnu_017,cp_bnu_018,cp_bnu_019,cp_bem_001,cp_bem_002,cp_bem_003,cp_bem_004,cp_bem_005,cp_bem_006,cp_bem_007,cp_bem_008,cp_bem_009,cp_bem_010,cp_bem_011,cp_bem_012,cp_bem_013,cp_bem_014,cp_bem_015,cp_bem_016,cp_bem_017,cp_bem_018,cp_bem_019,cp_bem_999,do_index,si_index,dong_index,fire_count
1541,35020650030002,470,44.5,7751.5,150.0,180,0.0,0.0,0.0,105.0,30.0,18.0,14.0,7.0,0.0,0.0,0.0,12.0,64.0,20.0,0.0,0.0,57.0,0.0,12.0,101.0,61.0,0.0,6.0,0.0,0.0,31,0.0,0.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,0.0,0.0,19.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,5.0,8.0,7.0,0.0,35,20,650,
1542,35020650030003,532,44.8,3615.5,268.3,163,0.0,10.0,42.0,38.0,18.0,15.0,12.0,10.0,18.0,0.0,32.0,53.0,31.0,13.0,0.0,9.0,7.0,0.0,0.0,128.0,0.0,27.0,8.0,0.0,0.0,72,0.0,0.0,0.0,0.0,0.0,11.0,13.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,11.0,0.0,0.0,10.0,0.0,0.0,83.0,29.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,17.0,15.0,51.0,0.0,14.0,0.0,35,20,650,
1543,35020650030004,390,47.2,2301.8,353.8,122,0.0,5.0,51.0,29.0,13.0,6.0,10.0,0.0,6.0,0.0,37.0,49.0,17.0,0.0,0.0,13.0,0.0,0.0,0.0,73.0,13.0,28.0,8.0,0.0,0.0,125,0.0,0.0,5.0,0.0,0.0,0.0,11.0,0.0,12.0,0.0,0.0,5.0,61.0,0.0,0.0,0.0,5.0,0.0,9.0,0.0,0.0,38.0,0.0,0.0,14.0,25.0,0.0,28.0,6.0,11.0,7.0,208.0,6.0,214.0,0.0,61.0,0.0,16.0,0.0,35,20,650,
1544,35020650030005,315,37.8,985.1,91.7,69,0.0,0.0,7.0,12.0,10.0,0.0,9.0,0.0,21.0,0.0,0.0,0.0,11.0,10.0,7.0,14.0,7.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,21.0,28.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,8.0,0.0,12.0,0.0,35,20,650,1.0
1545,35020650030006,494,47.0,5461.2,275.6,166,5.0,18.0,60.0,37.0,13.0,14.0,0.0,0.0,13.0,0.0,18.0,89.0,18.0,5.0,5.0,18.0,0.0,0.0,18.0,79.0,0.0,66.0,0.0,7.0,0.0,98,0.0,0.0,5.0,0.0,0.0,6.0,15.0,0.0,18.0,0.0,0.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,7.0,0.0,0.0,55.0,30.0,0.0,50.0,8.0,0.0,11.0,67.0,11.0,42.0,0.0,10.0,5.0,19.0,0.0,35,20,650,
1546,35020650030007,411,45.1,4234.4,230.8,138,0.0,0.0,36.0,73.0,9.0,5.0,6.0,0.0,5.0,0.0,5.0,90.0,24.0,0.0,5.0,6.0,0.0,0.0,5.0,43.0,55.0,32.0,0.0,7.0,0.0,53,0.0,0.0,0.0,0.0,0.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,65.0,20.0,0.0,0.0,0.0,0.0,0.0,16.0,12.0,117.0,64.0,9.0,0.0,5.0,0.0,35,20,650,
1547,35020650030101,427,43.5,47881.4,135.2,164,0.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,20,650,
1548,35020650030102,337,42.7,51399.1,120.0,122,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,20,650,
1549,35020650030201,769,41.9,50619.9,113.1,331,0.0,0.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,20,650,
1550,35020650030301,497,42.7,48246.8,112.5,187,0.0,0.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,20,650,
